0000.002 (0) Opened log file at time: Wed, 14 Feb 2024 14:16:36 +0000 on http://localhost/progetti%20settimanali/ProgettoSett2DB/wordpress
0000.006 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.23.16 WP: 6.4.3 PHP: 8.2.12 (apache2handler, Windows NT DESKTOP-RRNO7O4 10.0 build 19045 (Windows 10) AMD64) MySQL: 10.4.32-MariaDB (max packet size=1048576) WPLANG: it_IT Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 80.1M | 82M) multisite: N openssl: OpenSSL 3.0.11 19 Sep 2023 mcrypt: N LANG:  ZipArchive::addFile: N
0000.010 (0) Free space on disk containing Updraft's temporary directory: 35463.8 MB
0000.019 (0) Tasks: Backup files: 1 (schedule: unset) Backup DB: 1 (schedule: unset)
0000.025 (0) Semaphore (fd, wp_options) being initialised
0000.042 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.053 (0) Set semaphore last lock (fd) time to 2024-02-14 14:16:36
0000.056 (0) Semaphore lock (fd) complete
0000.069 (0) Backup run: resumption=0, nonce=d78509012db3, file_nonce=d78509012db3 begun at=1707920196 (0s ago), job type=backup
0000.076 (0) Scheduling a resumption (1) after 300 seconds (1707920496) in case this run gets aborted
0000.107 (0) Checking if we have a zip executable available
0000.115 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.119 (0) Creation of backups of directories: beginning
0000.137 (0) Beginning creation of dump of plugins (split every: 400 MB)
0024.494 (0) Total entities for the zip file: 1776 directories, 10397 files (0 skipped as non-modified), 134.1 MB
0024.499 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 137271.9 KB, split: 409600 KB)
0032.081 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4300 files added (on-disk size: 0 KB)
0032.299 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4400 files added (on-disk size: 0 KB)
0032.495 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4500 files added (on-disk size: 0 KB)
0032.683 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4600 files added (on-disk size: 0 KB)
0032.864 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4700 files added (on-disk size: 0 KB)
0033.013 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4800 files added (on-disk size: 0 KB)
0033.213 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 4900 files added (on-disk size: 0 KB)
0033.412 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5000 files added (on-disk size: 0 KB)
0033.627 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5100 files added (on-disk size: 0 KB)
0033.808 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5200 files added (on-disk size: 0 KB)
0033.992 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5300 files added (on-disk size: 0 KB)
0034.145 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5400 files added (on-disk size: 0 KB)
0034.593 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5500 files added (on-disk size: 0 KB)
0034.958 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5600 files added (on-disk size: 0 KB)
0035.150 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5700 files added (on-disk size: 0 KB)
0035.398 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5800 files added (on-disk size: 0 KB)
0035.662 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 5900 files added (on-disk size: 0 KB)
0035.878 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6000 files added (on-disk size: 0 KB)
0036.071 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6100 files added (on-disk size: 0 KB)
0036.257 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6200 files added (on-disk size: 0 KB)
0036.449 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6300 files added (on-disk size: 0 KB)
0036.613 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6400 files added (on-disk size: 0 KB)
0036.765 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6500 files added (on-disk size: 0 KB)
0036.930 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6600 files added (on-disk size: 0 KB)
0037.101 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6700 files added (on-disk size: 0 KB)
0037.258 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6800 files added (on-disk size: 0 KB)
0037.403 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 6900 files added (on-disk size: 0 KB)
0037.544 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7000 files added (on-disk size: 0 KB)
0037.684 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7100 files added (on-disk size: 0 KB)
0037.823 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7200 files added (on-disk size: 0 KB)
0037.974 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7300 files added (on-disk size: 0 KB)
0038.111 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7400 files added (on-disk size: 0 KB)
0038.247 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7500 files added (on-disk size: 0 KB)
0038.384 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7600 files added (on-disk size: 0 KB)
0038.531 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7700 files added (on-disk size: 0 KB)
0038.674 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7800 files added (on-disk size: 0 KB)
0038.828 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 7900 files added (on-disk size: 0 KB)
0039.003 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8000 files added (on-disk size: 0 KB)
0039.161 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8100 files added (on-disk size: 0 KB)
0039.300 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8200 files added (on-disk size: 0 KB)
0039.443 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8300 files added (on-disk size: 0 KB)
0039.557 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8400 files added (on-disk size: 0 KB)
0039.686 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8500 files added (on-disk size: 0 KB)
0039.817 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8600 files added (on-disk size: 0 KB)
0039.971 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8700 files added (on-disk size: 0 KB)
0040.108 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8800 files added (on-disk size: 0 KB)
0040.217 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 8900 files added (on-disk size: 0 KB)
0040.320 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9000 files added (on-disk size: 0 KB)
0040.427 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9100 files added (on-disk size: 0 KB)
0040.512 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9200 files added (on-disk size: 0 KB)
0040.604 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9300 files added (on-disk size: 0 KB)
0040.698 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9400 files added (on-disk size: 0 KB)
0040.821 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9500 files added (on-disk size: 0 KB)
0040.911 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9600 files added (on-disk size: 0 KB)
0041.004 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9700 files added (on-disk size: 0 KB)
0041.096 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9800 files added (on-disk size: 0 KB)
0041.189 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 9900 files added (on-disk size: 0 KB)
0041.288 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 10000 files added (on-disk size: 0 KB)
0041.378 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 10100 files added (on-disk size: 0 KB)
0041.470 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 10200 files added (on-disk size: 0 KB)
0041.564 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 10300 files added (on-disk size: 0 KB)
